Customer_Age,Gender,Education_Level,Customer_Job,Income,Marital_Status,Dependent_Count,Card_Category,Credit_Limit,Personal_loan,Car_Owner,House_Owner,Cust_Satisfaction_Score,Delinquent_Acc,,,
24,F,Uneducated,Businessman,202326,Single,1,Blue,3544,no,no,yes,3,0,,,
62,F,Unknown,Selfemployeed,5225,Married,0,Blue,3421,no,no,no,2,0,,,
32,F,Unknown,Selfemployeed,14235,Married,1,Blue,8258,no,yes,no,2,0,,,
38,M,Uneducated,Blue-collar,45683,Single,2,Blue,1438.3,no,no,no,1,0,,,
48,M,Graduate,Businessman,59279,Single,4,Blue,3128,no,yes,yes,1,1,,,
33,F,High School,Selfemployeed,14254,Single,1,Blue,33304,no,no,yes,3,0,,,
34,F,Graduate,Selfemployeed,14975,Single,3,Blue,2834,no,yes,no,2,1,,,
34,F,Uneducated,Retirees,31982,Single,2,Blue,5723,no,no,no,2,0,,,
48,M,High School,Businessman,86668,Married,2,Blue,2679,no,yes,no,2,0,,,
53,F,Graduate,Businessman,223196,Married,1,Platinum,11898,no,yes,yes,1,0,,,
,F,Post-Graduate,Businessman,33625,Single,0,Blue,1438.3,no,no,yes,2,0,,,
34,F,Graduate,Selfemployeed,14975,Single,4,Blue,5590,no,no,no,3,0,,,
51,F,Graduate,Selfemployeed,14975,Single,2,Blue,23510,no,yes,yes,2,0,,,
36,M,High School,White-collar,59416,Single,1,Blue,1688,no,yes,no,0,0,,,
49,F,Graduate,Retirees,28122,Married,4,Blue,1880,no,no,yes,1,1,,,
53,F,Graduate,Govt,29021,Single,2,Blue,12836,no,yes,no,1,0,,,
49,F,Graduate,Selfemployeed,20632,Married,1,Blue,22917,no,no,no,3,0,,,
47,F,Graduate,Businessman,172101,Married,5,Silver,11463,no,no,no,2,0,,,
43,F,Graduate,Retirees,57168,Single,4,Blue,1438.3,no,no,no,2,0,,,
47,M,Graduate,Govt,89954,Married,3,Blue,1814,no,no,no,2,0,,,
34,F,Uneducated,Blue-collar,53762,Single,3,Blue,2072,yes,yes,yes,1,0,,,
37,F,Unknown,Selfemployeed,45476,Married,5,Blue,16411,no,yes,yes,3,1,,,
63,M,Graduate,Selfemployeed,14975,Single,0,Blue,3131,yes,yes,yes,2,0,,,
55,M,Doctorate,Retirees,72878,Married,2,Blue,2616,no,yes,yes,2,0,,,
38,F,Unknown,Businessman,25667,Single,1,Blue,6391,no,no,no,3,0,,,
40,M,Graduate,Blue-collar,47224,Single,3,Blue,4906,no,no,yes,1,0,,,
55,F,Graduate,White-collar,25341,Single,0,Blue,21084,no,yes,no,2,0,,,
33,M,Doctorate,Blue-collar,53644,Single,2,Blue,1827,yes,no,yes,3,0,,,
54,F,Uneducated,Govt,27423,Married,1,Blue,6250,no,no,yes,2,0,,,
46,M,Graduate,Blue-collar,110014,Married,3,Blue,18512,no,yes,yes,2,0,,,
44,M,Graduate,Businessman,109186,Unknown,4,Blue,34516,no,no,no,3,0,,,
40,F,Graduate,Govt,25835,Married,3,Blue,1438.3,no,yes,yes,2,0,,,
44,F,Graduate,Selfemployeed,11345,Married,3,Blue,14734,no,yes,yes,2,0,,,
51,F,Uneducated,Selfemployeed,23215,Single,2,Blue,3031,no,yes,no,2,1,,,
60,M,Graduate,Businessman,103581,Single,0,Blue,34516,no,no,no,3,0,,,
49,F,Unknown,Selfemployeed,44555,Single,2,Blue,6629,no,yes,yes,3,0,,,
43,F,Graduate,Selfemployeed,12381,Married,5,Blue,3250,no,no,yes,2,1,,,
54,M,Graduate,White-collar,123809,Single,1,Platinum,34516,no,no,yes,1,0,,,
32,F,Graduate,Selfemployeed,14975,Married,0,Blue,1438.3,no,yes,no,1,0,,,
52,F,Graduate,Businessman,30586,Married,3,Blue,1864,no,no,yes,1,0,,,
43,F,Graduate,Retirees,28367,Single,1,Blue,5645,no,no,no,3,0,,,
49,F,Graduate,White-collar,15355,Single,0,Blue,5535,no,yes,no,1,0,,,
49,F,Uneducated,Govt,53428,Married,1,Blue,7268,no,no,no,2,0,,,
42,F,Graduate,Selfemployeed,7865,Single,3,Silver,11261,no,yes,yes,2,0,,,
48,F,Unknown,Blue-collar,54304,Unknown,3,Blue,2488,no,no,no,1,0,,,
47,F,Doctorate,Selfemployeed,20100,Single,2,Blue,3178,no,no,yes,2,0,,,
47,F,Unknown,Blue-collar,24295,Unknown,4,Blue,1819,no,no,yes,1,0,,,
47,F,Unknown,Govt,32103,Single,3,Blue,2920,no,no,yes,3,0,,,
53,F,Graduate,Selfemployeed,14975,Married,2,Blue,14480,yes,no,no,2,0,,,
47,F,High School,Selfemployeed,27517,Married,4,Silver,34516,no,yes,yes,3,0,,,
